日付,摘要,収入,支出,勘定科目1,勘定科目2,入金日
2026-06-30,焼菓子販売（クレジット、QR決済）,84036,,商品販売,焼菓子販売,
2026-06-30,ドリンク販売,5960,,商品販売,ドリンク,2026-07-01
2026-06-30,手工芸,2000,,商品販売,手工芸,2026-07-01
2026-06-30,"弁当代（GHトグチ,HOME渡慶次）",361800,,弁当販売,,
2026-06-30,弁当代,879000,,弁当販売,,
2026-06-30,山香,3520,,委託作業,シール貼り作業,2026-07-01
2026-06-30,焼き菓子販売 訂正処理,80,,商品販売,焼菓子販売,2026-07-01
2026-06-30,きらめきマルシェ販売,166600,,商品販売,,2026-07-01
2026-07-10,清掃 徳里住建,10500,,委託作業,清掃,
2026-07-10,利用者工賃,,0,利用者工賃,,
2026-07-10,教会清掃代,5000,,委託作業,清掃,
2026-07-20,焼菓子販売（からはーい）,12509,,商品販売,焼菓子販売,2026-07-21
2026-07-30,焼菓子販売（本社売上分）,44570,,商品販売,焼菓子販売,
2026-07-30,焼菓子販売,69032,,商品販売,焼菓子販売,2026-08-03
2026-07-30,焼菓子販売（クレジット、QR決済）,87048,,商品販売,焼菓子販売,
2026-07-30,ドリンク販売,2160,,商品販売,ドリンク,2026-08-03
2026-07-30,手工芸,11030,,商品販売,手工芸,2026-08-03
2026-07-30,"弁当代（GHトグチ,HOME渡慶次）",0,,弁当販売,,
2026-07-30,弁当代,0,,弁当販売,,
2026-07-30,山香,5156,,委託作業,シール貼り作業,2026-08-03
2026-07-30,商品販売（マンゴー）,29420,,商品販売,マンゴー販売,2026-08-03
2026-07-30,商品販売（洗車）,500,,委託作業,洗車作業,2026-08-03
